state_name,district_name,latitude,longitude,avg_annual_solar_radiation,avg_sunlight_hours_per_day
Maharashtra,Pune,18.5204,73.8567,5.21,8.5
Rajasthan,Jaipur,26.9124,75.7873,5.89,9.2
Tamil Nadu,Chennai,13.0827,80.2707,5.32,8.8
Karnataka,Bengaluru,12.9716,77.5946,5.01,7.9
Gujarat,Ahmedabad,23.0225,72.5714,5.74,9.0
Madhya Pradesh,Bhopal,23.2599,77.4126,5.41,8.6
Telangana,Hyderabad,17.385,78.4867,5.15,8.3
Uttar Pradesh,Lucknow,26.8467,80.9462,5.02,7.8
West Bengal,Kolkata,22.5726,88.3639,4.88,7.5
Delhi,New Delhi,28.6139,77.209,5.11,8.2
